Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Tipo: Municipio / Isla / Área no municipalizada,longitud,Latitud
05,ANTIOQUIA,05893,YONDÓ,Municipio,"-73,912445","7,00396"
05,ANTIOQUIA,05895,ZARAGOZA,Municipio,"-74,867075","7,488583"
08,ATLÁNTICO,08001,BARRANQUILLA,Municipio,"-74,815546","10,977961"
08,ATLÁNTICO,08078,BARANOA,Municipio,"-74,916077","10,79445"
08,ATLÁNTICO,08137,CAMPO DE LA CRUZ,Municipio,"-74,880847","10,378291"
08,ATLÁNTICO,08141,CANDELARIA,Municipio,"-74,879717","10,461903"
08,ATLÁNTICO,08296,GALAPA,Municipio,"-74,870385","10,919033"
08,ATLÁNTICO,08372,JUAN DE ACOSTA,Municipio,"-75,041032","10,83254"
08,ATLÁNTICO,08421,LURUACO,Municipio,"-75,14199","10,610491"
08,ATLÁNTICO,08433,MALAMBO,Municipio,"-74,776923","10,857086"
08,ATLÁNTICO,08436,MANATÍ,Municipio,"-74,956867","10,449089"
08,ATLÁNTICO,08520,PALMAR DE VARELA,Municipio,"-74,754765","10,738591"
08,ATLÁNTICO,08549,PIOJÓ,Municipio,"-75,107592","10,749216"
08,ATLÁNTICO,08558,POLONUEVO,Municipio,"-74,852981","10,777363"
08,ATLÁNTICO,08560,PONEDERA,Municipio,"-74,753885","10,641779"
08,ATLÁNTICO,08573,PUERTO COLOMBIA,Municipio,"-74,888627","11,015322"
08,ATLÁNTICO,08606,REPELÓN,Municipio,"-75,125534","10,493357"
08,ATLÁNTICO,08634,SABANAGRANDE,Municipio,"-74,759496","10,792453"
08,ATLÁNTICO,08638,SABANALARGA,Municipio,"-74,921256","10,632091"
08,ATLÁNTICO,08675,SANTA LUCÍA,Municipio,"-74,959204","10,324303"
08,ATLÁNTICO,08685,SANTO TOMÁS,Municipio,"-74,757859","10,758735"
08,ATLÁNTICO,08758,SOLEDAD,Municipio,"-74,786054","10,909921"
08,ATLÁNTICO,08770,SUAN,Municipio,"-74,881687","10,335432"
08,ATLÁNTICO,08832,TUBARÁ,Municipio,"-74,978704","10,873586"
08,ATLÁNTICO,08849,USIACURÍ,Municipio,"-74,976985","10,74298"
11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"-74,106992","4,649251"
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Municipio,"-75,496269","10,385126"
13,BOLÍVAR,13006,ACHÍ,Municipio,"-74,557676","8,570107"
13,BOLÍVAR,13030,ALTOS DEL ROSARIO,Municipio,"-74,164905","8,791865"
13,BOLÍVAR,13042,ARENAL,Municipio,"-73,941099","8,458865"
13,BOLÍVAR,13052,ARJONA,Municipio,"-75,344332","10,25666"
13,BOLÍVAR,13062,ARROYOHONDO,Municipio,"-75,019215","10,250075"
13,BOLÍVAR,13074,BARRANCO DE LOBA,Municipio,"-74,104391","8,947787"
13,BOLÍVAR,13140,CALAMAR,Municipio,"-74,916144","10,250431"
13,BOLÍVAR,13160,CANTAGALLO,Municipio,"-73,914605","7,378678"
13,BOLÍVAR,13188,CICUCO,Municipio,"-74,645981","9,274281"
13,BOLÍVAR,13212,CÓRDOBA,Municipio,"-74,827399","9,586942"
13,BOLÍVAR,13222,CLEMENCIA,Municipio,"-75,328469","10,567452"
13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,Municipio,"-75,121178","9,718653"
13,BOLÍVAR,13248,EL GUAMO,Municipio,"-74,976084","10,030958"
13,BOLÍVAR,13268,EL PEÑÓN,Municipio,"-73,949274","8,988271"
13,BOLÍVAR,13300,HATILLO DE LOBA,Municipio,"-74,077912","8,956014"
13,BOLÍVAR,13430,MAGANGUÉ,Municipio,"-74,766742","9,263799"
13,BOLÍVAR,13433,MAHATES,Municipio,"-75,191643","10,233285"
13,BOLÍVAR,13440,MARGARITA,Municipio,"-74,285137","9,15784"
13,BOLÍVAR,13442,MARÍA LA BAJA,Municipio,"-75,300516","9,982402"
13,BOLÍVAR,13458,MONTECRISTO,Municipio,"-74,471176","8,297234"
13,BOLÍVAR,13468,SANTA CRUZ DE MOMPOX,Municipio,"-74,42818","9,244241"
13,BOLÍVAR,13473,MORALES,Municipio,"-73,868172","8,276558"
13,BOLÍVAR,13490,NOROSÍ,Municipio,"-74,038003","8,526259"
13,BOLÍVAR,13549,PINILLOS,Municipio,"-74,462279","8,914947"
13,BOLÍVAR,13580,REGIDOR,Municipio,"-73,821638","8,666258"
13,BOLÍVAR,13600,RÍO VIEJO,Municipio,"-73,840466","8,58795"
13,BOLÍVAR,13620,SAN CRISTÓBAL,Municipio,"-75,065076","10,392836"
13,BOLÍVAR,13647,SAN ESTANISLAO,Municipio,"-75,153101","10,398602"
13,BOLÍVAR,13650,SAN FERNANDO,Municipio,"-74,323811","9,214183"
13,BOLÍVAR,13654,SAN JACINTO,Municipio,"-75,12105","9,830275"
13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,Municipio,"-74,721156","8,25158"
13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,Municipio,"-75,081761","9,953751"
13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,Municipio,"-74,039134","8,937485"
13,BOLÍVAR,13670,SAN PABLO,Municipio,"-73,924602","7,476747"
13,BOLÍVAR,13673,SANTA CATALINA,Municipio,"-75,287855","10,605294"
13,BOLÍVAR,13683,SANTA ROSA,Municipio,"-75,369824","10,444396"
13,BOLÍVAR,13688,SANTA ROSA DEL SUR,Municipio,"-74,052243","7,963938"
13,BOLÍVAR,13744,SIMITÍ,Municipio,"-73,947264","7,953916"
13,BOLÍVAR,13760,SOPLAVIENTO,Municipio,"-75,136404","10,38839"
13,BOLÍVAR,13780,TALAIGUA NUEVO,Municipio,"-74,567479","9,30403"
13,BOLÍVAR,13810,TIQUISIO,Municipio,"-74,262922","8,558666"
13,BOLÍVAR,13836,TURBACO,Municipio,"-75,427249","10,348316"
13,BOLÍVAR,13838,TURBANÁ,Municipio,"-75,44265","10,274585"
13,BOLÍVAR,13873,VILLANUEVA,Municipio,"-75,275613","10,444089"
13,BOLÍVAR,13894,ZAMBRANO,Municipio,"-74,817879","9,746306"
15,BOYACÁ,15001,TUNJA,Municipio,"-73,355539","5,53988"
15,BOYACÁ,15022,ALMEIDA,Municipio,"-73,378933","4,970857"
15,BOYACÁ,15047,AQUITANIA,Municipio,"-72,88399","5,518602"
15,BOYACÁ,15051,ARCABUCO,Municipio,"-73,437503","5,755673"
15,BOYACÁ,15087,BELÉN,Municipio,"-72,911641","5,98923"
15,BOYACÁ,15090,BERBEO,Municipio,"-73,12721","5,227451"
15,BOYACÁ,15092,BETÉITIVA,Municipio,"-72,809014","5,909978"
15,BOYACÁ,15097,BOAVITA,Municipio,"-72,584905","6,330703"
15,BOYACÁ,15104,BOYACÁ,Municipio,"-73,361945","5,454578"
15,BOYACÁ,15106,BRICEÑO,Municipio,"-73,92326","5,690879"
15,BOYACÁ,15109,BUENAVISTA,Municipio,"-73,94217","5,512594"
15,BOYACÁ,15114,BUSBANZÁ,Municipio,"-72,884158","5,831393"
15,BOYACÁ,15131,CALDAS,Municipio,"-73,865553","5,55458"
15,BOYACÁ,15135,CAMPOHERMOSO,Municipio,"-73,104173","5,031676"
15,BOYACÁ,15162,CERINZA,Municipio,"-72,947918","5,955939"
15,BOYACÁ,15172,CHINAVITA,Municipio,"-73,368476","5,167486"
15,BOYACÁ,15176,CHIQUINQUIRÁ,Municipio,"-73,818745","5,61379"
15,BOYACÁ,15180,CHISCAS,Municipio,"-72,500957","6,553136"
15,BOYACÁ,15183,CHITA,Municipio,"-72,471892","6,187083"
15,BOYACÁ,15185,CHITARAQUE,Municipio,"-73,4471","6,027425"
15,BOYACÁ,15187,CHIVATÁ,Municipio,"-73,282529","5,558949"
15,BOYACÁ,15189,CIÉNEGA,Municipio,"-73,296049","5,408694"
15,BOYACÁ,15204,CÓMBITA,Municipio,"-73,323957","5,634545"
15,BOYACÁ,15212,COPER,Municipio,"-74,045636","5,475074"
15,BOYACÁ,15215,CORRALES,Municipio,"-72,844795","5,828064"
15,BOYACÁ,15218,COVARACHÍA,Municipio,"-72,738978","6,500177"
15,BOYACÁ,15223,CUBARÁ,Municipio,"-72,107939","6,997275"
15,BOYACÁ,15224,CUCAITA,Municipio,"-73,454338","5,544452"
15,BOYACÁ,15226,CUÍTIVA,Municipio,"-72,965923","5,580367"
15,BOYACÁ,15232,CHÍQUIZA,Municipio,"-73,449463","5,639834"
15,BOYACÁ,15236,CHIVOR,Municipio,"-73,368398","4,888173"
15,BOYACÁ,15238,DUITAMA,Municipio,"-73,03063","5,822964"
15,BOYACÁ,15244,EL COCUY,Municipio,"-72,444537","6,407738"
15,BOYACÁ,15248,EL ESPINO,Municipio,"-72,497007","6,483027"
15,BOYACÁ,15272,FIRAVITOBA,Municipio,"-72,993392","5,668885"
15,BOYACÁ,15276,FLORESTA,Municipio,"-72,918111","5,859519"
15,BOYACÁ,15293,GACHANTIVÁ,Municipio,"-73,549092","5,751891"
15,BOYACÁ,15296,GÁMEZA,Municipio,"-72,80553","5,802333"
15,BOYACÁ,15299,GARAGOA,Municipio,"-73,364413","5,083234"
15,BOYACÁ,15317,GUACAMAYAS,Municipio,"-72,500812","6,459667"
15,BOYACÁ,15322,GUATEQUE,Municipio,"-73,471207","5,007321"
15,BOYACÁ,15325,GUAYATÁ,Municipio,"-73,489698","4,967122"
15,BOYACÁ,15332,GÜICÁN DE LA SIERRA,Municipio,"-72,411763","6,462864"
15,BOYACÁ,15362,IZA,Municipio,"-72,979559","5,611577"
15,BOYACÁ,15367,JENESANO,Municipio,"-73,363738","5,385813"
15,BOYACÁ,15368,JERICÓ,Municipio,"-72,571122","6,145735"
15,BOYACÁ,15377,LABRANZAGRANDE,Municipio,"-72,57777","5,562687"
15,BOYACÁ,15380,LA CAPILLA,Municipio,"-73,444347","5,095687"
15,BOYACÁ,15401,LA VICTORIA,Municipio,"-74,234393","5,523792"
15,BOYACÁ,15403,LA UVITA,Municipio,"-72,559982","6,31616"
15,BOYACÁ,15407,VILLA DE LEYVA,Municipio,"-73,524948","5,632455"
15,BOYACÁ,15425,MACANAL,Municipio,"-73,319593","4,972464"
15,BOYACÁ,15442,MARIPÍ,Municipio,"-74,00405","5,550091"
15,BOYACÁ,15455,MIRAFLORES,Municipio,"-73,14563","5,196515"
15,BOYACÁ,15464,MONGUA,Municipio,"-72,79809","5,754242"
15,BOYACÁ,15466,MONGUÍ,Municipio,"-72,849292","5,723486"
15,BOYACÁ,15469,MONIQUIRÁ,Municipio,"-73,573374","5,876331"
15,BOYACÁ,15476,MOTAVITA,Municipio,"-73,367841","5,5777"
15,BOYACÁ,15480,MUZO,Municipio,"-74,10269","5,532758"
15,BOYACÁ,15491,NOBSA,Municipio,"-72,937042","5,768046"
15,BOYACÁ,15494,NUEVO COLÓN,Municipio,"-73,456759","5,355317"
15,BOYACÁ,15500,OICATÁ,Municipio,"-73,308399","5,595235"
15,BOYACÁ,15507,OTANCHE,Municipio,"-74,180965","5,657536"
15,BOYACÁ,15511,PACHAVITA,Municipio,"-73,396953","5,140065"
15,BOYACÁ,15514,PÁEZ,Municipio,"-73,052737","5,097319"
15,BOYACÁ,15516,PAIPA,Municipio,"-73,11782","5,779894"
15,BOYACÁ,15518,PAJARITO,Municipio,"-72,703231","5,293783"
15,BOYACÁ,15522,PANQUEBA,Municipio,"-72,459424","6,443416"
15,BOYACÁ,15531,PAUNA,Municipio,"-73,978449","5,656323"
15,BOYACÁ,15533,PAYA,Municipio,"-72,423775","5,625699"
15,BOYACÁ,15537,PAZ DE RÍO,Municipio,"-72,749137","5,987645"
15,BOYACÁ,15542,PESCA,Municipio,"-73,050872","5,558808"
15,BOYACÁ,15550,PISBA,Municipio,"-72,486023","5,72141"
15,BOYACÁ,15572,PUERTO BOYACÁ,Municipio,"-74,587782","5,976646"
15,BOYACÁ,15580,QUÍPAMA,Municipio,"-74,180033","5,52055"
15,BOYACÁ,15599,RAMIRIQUÍ,Municipio,"-73,334839","5,400303"
15,BOYACÁ,15600,RÁQUIRA,Municipio,"-73,632543","5,539136"
15,BOYACÁ,15621,RONDÓN,Municipio,"-73,208474","5,357378"
15,BOYACÁ,15632,SABOYÁ,Municipio,"-73,764456","5,697756"
15,BOYACÁ,15638,SÁCHICA,Municipio,"-73,542539","5,584305"
15,BOYACÁ,15646,SAMACÁ,Municipio,"-73,485589","5,492161"
15,BOYACÁ,15660,SAN EDUARDO,Municipio,"-73,077747","5,22401"
15,BOYACÁ,15664,SAN JOSÉ DE PARE,Municipio,"-73,545397","6,018924"
15,BOYACÁ,15667,SAN LUIS DE GACENO,Municipio,"-73,168076","4,81976"
15,BOYACÁ,15673,SAN MATEO,Municipio,"-72,555264","6,401683"
15,BOYACÁ,15676,SAN MIGUEL DE SEMA,Municipio,"-73,722009","5,518083"
15,BOYACÁ,15681,SAN PABLO DE BORBUR,Municipio,"-74,069963","5,650743"
15,BOYACÁ,15686,SANTANA,Municipio,"-73,481639","6,056866"
15,BOYACÁ,15690,SANTA MARÍA,Municipio,"-73,263518","4,857193"
15,BOYACÁ,15693,SANTA ROSA DE VITERBO,Municipio,"-72,982461","5,874547"
15,BOYACÁ,15696,SANTA SOFÍA,Municipio,"-73,602707","5,713269"
15,BOYACÁ,15720,SATIVANORTE,Municipio,"-72,708458","6,131132"
15,BOYACÁ,15723,SATIVASUR,Municipio,"-72,712435","6,093183"
15,BOYACÁ,15740,SIACHOQUE,Municipio,"-73,24466","5,511811"
15,BOYACÁ,15753,SOATÁ,Municipio,"-72,684051","6,331945"
15,BOYACÁ,15755,SOCOTÁ,Municipio,"-72,636653","6,041162"
15,BOYACÁ,15757,SOCHA,Municipio,"-72,691963","5,996717"
15,BOYACÁ,15759,SOGAMOSO,Municipio,"-72,924355","5,723976"
15,BOYACÁ,15761,SOMONDOCO,Municipio,"-73,433393","4,985726"
15,BOYACÁ,15762,SORA,Municipio,"-73,450153","5,56684"
15,BOYACÁ,15763,SOTAQUIRÁ,Municipio,"-73,246585","5,764986"
15,BOYACÁ,15764,SORACÁ,Municipio,"-73,332804","5,500898"
15,BOYACÁ,15774,SUSACÓN,Municipio,"-72,690289","6,230332"
15,BOYACÁ,15776,SUTAMARCHÁN,Municipio,"-73,620536","5,619781"
15,BOYACÁ,15778,SUTATENZA,Municipio,"-73,452317","5,022989"
15,BOYACÁ,15790,TASCO,Municipio,"-72,781011","5,909821"
15,BOYACÁ,15798,TENZA,Municipio,"-73,421176","5,076781"
15,BOYACÁ,15804,TIBANÁ,Municipio,"-73,396457","5,317251"
15,BOYACÁ,15806,TIBASOSA,Municipio,"-72,999449","5,74723"
15,BOYACÁ,15808,TINJACÁ,Municipio,"-73,646847","5,579713"
15,BOYACÁ,15810,TIPACOQUE,Municipio,"-72,691729","6,419203"
15,BOYACÁ,15814,TOCA,Municipio,"-73,184794","5,566464"
15,BOYACÁ,15816,TOGÜÍ,Municipio,"-73,513655","5,937438"
15,BOYACÁ,15820,TÓPAGA,Municipio,"-72,832245","5,768201"
15,BOYACÁ,15822,TOTA,Municipio,"-72,985898","5,560497"
15,BOYACÁ,15832,TUNUNGUÁ,Municipio,"-73,933155","5,730582"
15,BOYACÁ,15835,TURMEQUÉ,Municipio,"-73,491825","5,323261"
15,BOYACÁ,15837,TUTA,Municipio,"-73,230285","5,689082"
15,BOYACÁ,15839,TUTAZÁ,Municipio,"-72,856035","6,032608"
15,BOYACÁ,15842,ÚMBITA,Municipio,"-73,456917","5,221176"
15,BOYACÁ,15861,VENTAQUEMADA,Municipio,"-73,522368","5,368739"
15,BOYACÁ,15879,VIRACACHÁ,Municipio,"-73,296894","5,436833"
15,BOYACÁ,15897,ZETAQUIRA,Municipio,"-73,17098","5,283443"
17,CALDAS,17001,MANIZALES,Municipio,"-75,491025","5,057657"
17,CALDAS,17013,AGUADAS,Municipio,"-75,45487","5,610244"
17,CALDAS,17042,ANSERMA,Municipio,"-75,784343","5,236471"
17,CALDAS,17050,ARANZAZU,Municipio,"-75,49129","5,271195"
17,CALDAS,17088,BELALCÁZAR,Municipio,"-75,811918","4,993785"
17,CALDAS,17174,CHINCHINÁ,Municipio,"-75,607529","4,985227"
17,CALDAS,17272,FILADELFIA,Municipio,"-75,562474","5,297091"
17,CALDAS,17380,LA DORADA,Municipio,"-74,668819","5,460834"
17,CALDAS,17388,LA MERCED,Municipio,"-75,546486","5,39647"
17,CALDAS,17433,MANZANARES,Municipio,"-75,152829","5,255699"
17,CALDAS,17442,MARMATO,Municipio,"-75,600049","5,47422"
17,CALDAS,17444,MARQUETALIA,Municipio,"-75,053097","5,297525"
17,CALDAS,17446,MARULANDA,Municipio,"-75,259721","5,284304"
17,CALDAS,17486,NEIRA,Municipio,"-75,520006","5,166895"
17,CALDAS,17495,NORCASIA,Municipio,"-74,889543","5,574796"
17,CALDAS,17513,PÁCORA,Municipio,"-75,459621","5,527172"
17,CALDAS,17524,PALESTINA,Municipio,"-75,624577","5,017879"
17,CALDAS,17541,PENSILVANIA,Municipio,"-75,160299","5,383281"
17,CALDAS,17614,RIOSUCIO,Municipio,"-75,702104","5,423673"
17,CALDAS,17616,RISARALDA,Municipio,"-75,76722","5,164509"
17,CALDAS,17653,SALAMINA,Municipio,"-75,487223","5,403025"
17,CALDAS,17662,SAMANÁ,Municipio,"-74,992263","5,41308"
